WC-1930,T-13,Chile,P-00815,Aguilera,Juan,0,forward
WC-1930,T-13,Chile,P-09068,Arellano,Guillermo,0,forward
WC-1930,T-13,Chile,P-02300,Chaparro,Ernesto,0,defender
WC-1930,T-13,Chile,P-07628,Coddou,Arturo,0,midfielder
WC-1930,T-13,Chile,P-08983,Cortés,Roberto,0,goal keeper
WC-1930,T-13,Chile,P-08972,Elgueta,Humberto,0,midfielder
WC-1930,T-13,Chile,P-02706,Espinoza,César,0,goal keeper
WC-1930,T-13,Chile,P-03845,Morales,Víctor,0,defender
WC-1930,T-13,Chile,P-09797,Muñoz,Horacio,0,forward
WC-1930,T-13,Chile,P-00054,Ojeda,Tomás,0,forward
WC-1930,T-13,Chile,P-08369,Poirier,Ulises,0,defender
WC-1930,T-13,Chile,P-03762,Riveros,Guillermo,0,defender
WC-1930,T-13,Chile,P-06719,Saavedra,Guillermo,0,midfielder
WC-1930,T-13,Chile,P-01853,Schneeberger,Carlos,0,forward
WC-1930,T-13,Chile,P-04702,Subiabre,Guillermo,0,forward
WC-1930,T-13,Chile,P-03568,Torres,Arturo,0,midfielder
WC-1930,T-13,Chile,P-08807,Torres,Casimiro,0,midfielder
WC-1930,T-13,Chile,P-04216,Vidal,Carlos,0,forward
WC-1930,T-13,Chile,P-06437,Villalobos,Eberardo,0,forward
WC-1930,T-28,France,P-08276,Andoire,Numa,0,defender
WC-1930,T-28,France,P-05869,Capelle,Marcel,0,defender
WC-1930,T-28,France,P-08263,Chantrel,Augustin,0,midfielder
WC-1930,T-28,France,P-02254,Delfour,Edmond,0,midfielder
WC-1930,T-28,France,P-09494,Delmer,Célestin,0,midfielder
WC-1930,T-28,France,P-05670,Langiller,Marcel,0,forward
WC-1930,T-28,France,P-06728,Laurent,Jean,0,defender
WC-1930,T-28,France,P-09831,Laurent,Lucien,0,forward
WC-1930,T-28,France,P-06423,Libérati,Ernest,0,forward
WC-1930,T-28,France,P-07295,Maschinot,André,0,forward
WC-1930,T-28,France,P-09767,Mattler,Étienne,0,defender
WC-1930,T-28,France,P-06259,Pinel,Marcel,0,forward
WC-1930,T-28,France,P-05378,Tassin,André,0,goal keeper
WC-1930,T-28,France,P-07977,Thépot,Alex,0,goal keeper
WC-1930,T-28,France,P-06225,Veinante,Émile,0,forward
WC-1930,T-28,France,P-06949,Villaplane,Alexandre,0,midfielder
WC-1930,T-44,Mexico,P-04448,Amézcua,Efraín,0,midfielder
WC-1930,T-44,Mexico,P-08760,Bonfiglio,Oscar,0,goal keeper
WC-1930,T-44,Mexico,P-03952,Carreño,Juan,0,forward
WC-1930,T-44,Mexico,P-04682,Castro,Jesús,0,forward
WC-1930,T-44,Mexico,P-07181,Garza Gutiérrez,Rafael,0,defender
WC-1930,T-44,Mexico,P-00249,Garza Gutiérrez,Francisco,0,defender
WC-1930,T-44,Mexico,P-04746,Gayón,Roberto,0,forward
WC-1930,T-44,Mexico,P-07242,López,Hilario,0,forward
WC-1930,T-44,Mexico,P-03933,Mejía,Dionisio,0,forward
WC-1930,T-44,Mexico,P-09592,Olivares,Felipe,0,forward
WC-1930,T-44,Mexico,P-02224,Pérez,Luis,0,forward
WC-1930,T-44,Mexico,P-00366,Rodríguez,Raymundo,0,midfielder
WC-1930,T-44,Mexico,P-06663,Rosas,Felipe,0,midfielder
