WC-1930,France v Mexico,group stage,Estadio Pocitos,Montevideo,France,T-44,MEX,4–1,4
WC-1930,United States v Belgium,group stage,Estadio Gran Parque Central,Montevideo,United States,T-06,BEL,3–0,3
WC-1930,Yugoslavia v Brazil,group stage,Estadio Gran Parque Central,Montevideo,Yugoslavia,T-09,BRA,2–1,2
WC-1930,Romania v Peru,group stage,Estadio Pocitos,Montevideo,Romania,T-54,PER,3–1,3
WC-1930,Argentina v France,group stage,Estadio Gran Parque Central,Montevideo,Argentina,T-28,FRA,1–0,1
WC-1930,Chile v Mexico,group stage,Estadio Gran Parque Central,Montevideo,Chile,T-44,MEX,3–0,3
WC-1930,Yugoslavia v Bolivia,group stage,Estadio Gran Parque Central,Montevideo,Yugoslavia,T-07,BOL,4–0,4
WC-1930,United States v Paraguay,group stage,Estadio Gran Parque Central,Montevideo,United States,T-53,PRY,3–0,3
WC-1930,Uruguay v Peru,group stage,Estadio Centenario,Montevideo,Uruguay,T-54,PER,1–0,1
WC-1930,Chile v France,group stage,Estadio Centenario,Montevideo,Chile,T-28,FRA,1–0,1
WC-1930,Argentina v Mexico,group stage,Estadio Centenario,Montevideo,Argentina,T-44,MEX,6–3,6
WC-1930,Brazil v Bolivia,group stage,Estadio Centenario,Montevideo,Brazil,T-07,BOL,4–0,4
WC-1930,Paraguay v Belgium,group stage,Estadio Centenario,Montevideo,Paraguay,T-06,BEL,1–0,1
WC-1930,Uruguay v Romania,group stage,Estadio Centenario,Montevideo,Uruguay,T-58,ROU,4–0,4
WC-1930,Argentina v Chile,group stage,Estadio Centenario,Montevideo,Argentina,T-13,CHL,3–1,3
WC-1930,Argentina v United States,semi-finals,Estadio Centenario,Montevideo,Argentina,T-79,USA,6–1,6
WC-1930,Uruguay v Yugoslavia,semi-finals,Estadio Centenario,Montevideo,Uruguay,T-83,YUG,6–1,6
WC-1930,Uruguay v Argentina,final,Estadio Centenario,Montevideo,Uruguay,T-03,ARG,4–2,4
WC-1934,Austria v France,round of 16,Stadio Benito Mussolini,Turin,Austria,T-28,FRA,3–2,3
WC-1934,Czechoslovakia v Romania,round of 16,Stadio Littorio,Trieste,Czechoslovakia,T-58,ROU,2–1,2
WC-1934,Germany v Belgium,round of 16,Stadio Giovanni Berta,Florence,Germany,T-06,BEL,5–2,5
WC-1934,Hungary v Egypt,round of 16,Stadio Giorgio Ascarelli,Naples,Hungary,T-25,EGY,4–2,4
WC-1934,Italy v United States,round of 16,Stadio Nazionale PNF,Rome,Italy,T-79,USA,7–1,7
WC-1934,Spain v Brazil,round of 16,Stadio Luigi Ferraris,Genoa,Spain,T-09,BRA,3–1,3
WC-1934,Sweden v Argentina,round of 16,Stadio Renato Dall'Ara,Bologna,Sweden,T-03,ARG,3–2,3
WC-1934,Switzerland v Netherlands,round of 16,San Siro,Milan,Switzerland,T-46,NLD,3–2,3
WC-1934,Austria v Hungary,quarter-finals,Stadio Renato Dall'Ara,Bologna,Austria,T-34,HUN,2–1,2
WC-1934,Czechoslovakia v Switzerland,quarter-finals,Stadio Benito Mussolini,Turin,Czechoslovakia,T-72,CHE,3–2,3
WC-1934,Germany v Sweden,quarter-finals,San Siro,Milan,Germany,T-71,SWE,2–1,2
WC-1934,Italy v Spain,quarter-finals,Stadio Giovanni Berta,Florence,Italy,T-70,ESP,1–1,1
WC-1934,Italy v Spain,quarter-finals,Stadio Giovanni Berta,Florence,Italy,T-70,ESP,1–0,1
WC-1934,Czechoslovakia v Germany,semi-finals,Stadio Nazionale PNF,Rome,Czechoslovakia,T-29,DEU,3–1,3
WC-1934,Italy v Austria,semi-finals,San Siro,Milan,Italy,T-05,AUT,1–0,1
WC-1934,Germany v Austria,third-place match,Stadio Giorgio Ascarelli,Naples,Germany,T-05,AUT,3–2,3
WC-1934,Italy v Czechoslovakia,final,Stadio Nazionale PNF,Rome,Italy,T-20,CSK,2–1,2
WC-1938,Switzerland v Germany,round of 16,Parc des Princes,Paris,Switzerland,T-29,DEU,1–1,1
WC-1938,Cuba v Romania,round of 16,Stade du T.O.E.C.,Toulouse,Cuba,T-58,ROU,3–3,3
WC-1938,France v Belgium,round of 16,Stade Olympique de Colombes,Paris,France,T-06,BEL,3–1,3
WC-1938,Hungary v Dutch East Indies,round of 16,Vélodrome Municipal,Reims,Hungary,T-22,IDN,6–0,6
WC-1938,Italy v Norway,round of 16,Stade Vélodrome,Marseille,Italy,T-51,NOR,2–1,2
WC-1938,Brazil v Poland,round of 16,Stade de la Meinau,Strasbourg,Brazil,T-55,POL,6–5,6
WC-1938,Czechoslovakia v Netherlands,round of 16,Stade Jules Deschaseaux,Le Havre,Czechoslovakia,T-46,NLD,3–0,3
WC-1938,Cuba v Romania,round of 16,Stade du T.O.E.C.,Toulouse,Cuba,T-58,ROU,2–1,2
WC-1938,Switzerland v Germany,round of 16,Parc des Princes,Paris,Switzerland,T-29,DEU,4–2,4
WC-1938,Brazil v Czechoslovakia,quarter-finals,Stade du Parc Lescure,Bordeaux,Brazil,T-20,CSK,1–1,1
WC-1938,Hungary v Switzerland,quarter-finals,Stade Victor Boucquey,Lille,Hungary,T-72,CHE,2–0,2
WC-1938,Italy v France,quarter-finals,Stade Olympique de Colombes,Paris,Italy,T-28,FRA,3–1,3
WC-1938,Sweden v Cuba,quarter-finals,Stade du Fort Carré,Antibes,Sweden,T-18,CUB,8–0,8
WC-1938,Brazil v Czechoslovakia,quarter-finals,Stade du Parc Lescure,Bordeaux,Brazil,T-20,CSK,2–1,2
WC-1938,Hungary v Sweden,semi-finals,Parc des Princes,Paris,Hungary,T-71,SWE,5–1,5
WC-1938,Italy v Brazil,semi-finals,Stade Vélodrome,Marseille,Italy,T-09,BRA,2–1,2
WC-1938,Brazil v Sweden,third-place match,Stade du Parc Lescure,Bordeaux,Brazil,T-71,SWE,4–2,4
WC-1938,Italy v Hungary,final,Stade Olympique de Colombes,Paris,Italy,T-34,HUN,4–2,4
WC-1950,Brazil v Mexico,group stage,Estádio do Maracanã,Rio de Janeiro,Brazil,T-44,MEX,4–0,4
