147,Rowing,Rowing Men's Coxed Pairs
148,Athletics,Athletics Men's 400 metres Hurdles
149,Athletics,Athletics Men's 400 metres
150,Athletics,Athletics Men's Hammer Throw
151,Weightlifting,Weightlifting Men's Featherweight
152,Athletics,Athletics Men's 800 metres
153,Hockey,Hockey Men's Hockey
154,Alpine Skiing,Alpine Skiing Women's Slalom
155,Rowing,Rowing Women's Single Sculls
156,Swimming,Swimming Men's 50 metres Freestyle
157,Weightlifting,Weightlifting Women's Featherweight
158,Water Polo,Water Polo Women's Water Polo
159,Figure Skating,Figure Skating Men's Singles
161,Weightlifting,Weightlifting Men's Heavyweight
162,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual"
163,Equestrianism,"Equestrianism Mixed Three-Day Event, Team"
164,Figure Skating,Figure Skating Mixed Team
165,Sailing,Sailing Women's Three Person Keelboat
166,Cycling,"Cycling Women's Road Race, Individual"
167,Golf,Golf Women's Individual
169,Softball,Softball Women's Softball
171,Archery,Archery Women's Individual
173,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman"
174,Volleyball,Volleyball Men's Volleyball
176,Taekwondo,Taekwondo Women's Heavyweight
177,Synchronized Swimming,Synchronized Swimming Women's Duet
179,Synchronized Swimming,Synchronized Swimming Women's Team
180,Taekwondo,Taekwondo Women's Featherweight
181,Athletics,Athletics Men's Marathon
182,Athletics,Athletics Men's 4 x 400 metres Relay
183,Athletics,"Athletics Men's 10,000 metres"
184,Athletics,"Athletics Women's 3,000 metres"
185,Diving,Diving Women's Platform
186,Shooting,"Shooting Men's Air Rifle, 10 metres"
187,Athletics,Athletics Men's 200 metres
188,Weightlifting,Weightlifting Men's Flyweight
189,Swimming,Swimming Men's 100 metres Backstroke
190,Weightlifting,Weightlifting Men's Light-Heavyweight
191,Wrestling,"Wrestling Men's Lightweight, Greco-Roman"
192,Fencing,"Fencing Men's Sabre, Individual"
193,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman"
194,Shooting,"Shooting Men's Free Pistol, 50 metres"
195,Shooting,"Shooting Men's Air Pistol, 10 metres"
196,Rowing,Rowing Men's Coxless Fours
197,Boxing,Boxing Men's Light-Flyweight
198,Boxing,Boxing Men's Super-Heavyweight
199,Wrestling,"Wrestling Men's Flyweight, Greco-Roman"
200,Shooting,"Shooting Women's Air Rifle, 10 metres"
201,Weightlifting,Weightlifting Men's Middle-Heavyweight
202,Athletics,Athletics Men's Javelin Throw
203,Volleyball,Volleyball Women's Volleyball
204,Wrestling,"Wrestling Men's Welterweight, Greco-Roman"
205,Wrestling,"Wrestling Men's Middleweight, Greco-Roman"
206,Athletics,"Athletics Men's 3,000 metres Steeplechase"
207,Wrestling,"Wrestling Men's Middleweight, Freestyle"
208,Swimming,Swimming Women's 100 metres Backstroke
209,Swimming,Swimming Women's 200 metres Backstroke
210,Swimming,Swimming Women's 4 x 100 metres Medley Relay
211,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle"
212,Modern Pentathlon,Modern Pentathlon Men's Team
213,Boxing,Boxing Men's Bantamweight
214,Athletics,Athletics Women's 200 metres
215,Table Tennis,Table Tennis Women's Singles
217,Table Tennis,Table Tennis Women's Doubles
218,Shooting,Shooting Men's Skeet
219,Swimming,Swimming Women's 50 metres Freestyle
220,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
221,Athletics,Athletics Men's Triple Jump
222,Weightlifting,Weightlifting Women's Lightweight
223,Athletics,Athletics Women's Long Jump
224,Fencing,"Fencing Women's epee, Individual"
225,Swimming,Swimming Men's 200 metres Freestyle
226,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
227,Swimming,Swimming Men's 200 metres Backstroke
228,Swimming,Swimming Men's 200 metres Individual Medley
229,Swimming,Swimming Men's 400 metres Individual Medley
230,Badminton,Badminton Women's Singles
231,Boxing,Boxing Men's Light-Middleweight
232,Tennis,Tennis Men's Singles
233,Wrestling,"Wrestling Men's Bantamweight, Freestyle"
234,Wrestling,"Wrestling Men's Flyweight, Freestyle"
235,Athletics,"Athletics Women's 5,000 metres"
236,Weightlifting,Weightlifting Women's Light-Heavyweight
237,Weightlifting,Weightlifting Women's Heavyweight
238,Athletics,Athletics Men's Discus Throw
239,Taekwondo,Taekwondo Men's Featherweight
240,Taekwondo,Taekwondo Men's Welterweight
241,Judo,Judo Men's Heavyweight
242,Cycling,Cycling Men's Sprint
243,Bobsleigh,Bobsleigh Men's Two
244,Wrestling,"Wrestling Men's Lightweight, Freestyle"
245,Nordic Combined,Nordic Combined Men's Team
247,Nordic Combined,Nordic Combined Men's Individual
248,Baseball,Baseball Men's Baseball
250,Rowing,Rowing Men's Coxed Fours
251,Cycling,Cycling Men's 100 kilometres Team Time Trial
252,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
254,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning"
255,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs"
256,Gymnastics,Gymnastics Women's Individual All-Around
257,Gymnastics,Gymnastics Women's Team All-Around
258,Gymnastics,Gymnastics Women's Floor Exercise
259,Gymnastics,Gymnastics Women's Horse Vault
260,Gymnastics,Gymnastics Women's Uneven Bars
261,Gymnastics,Gymnastics Women's Balance Beam
262,Diving,Diving Women's Springboard
263,Diving,Diving Women's Synchronized Springboard
264,Athletics,"Athletics Women's 10,000 metres"
265,Sailing,Sailing Mixed 7 metres
266,Judo,Judo Women's Half-Middleweight
267,Athletics,Athletics Men's Decathlon
268,Biathlon,Biathlon Men's 10 kilometres Sprint
