1,China
2,Denmark
3,Denmark/Sweden
4,Netherlands
5,United States
6,Finland
7,Norway
8,Romania
9,Estonia
10,France
11,Taifun
12,Morocco
13,Spain
14,Egypt
15,Iran
16,Bulgaria
17,Italy
18,Chad
19,Azerbaijan
20,Sudan
21,Russia
22,Argentina
23,Cuba
24,Belarus
25,Greece
26,Cameroon
27,Turkey
28,Chile
29,Mexico
30,Soviet Union
31,Nicaragua
32,Hungary
33,Nigeria
34,Algeria
35,Kuwait
36,Bahrain
37,Pakistan
38,Iraq
39,United Arab Republic
40,Lebanon
41,Qatar
42,Malaysia
43,Germany
44,Thessalonki-1
45,Canada
46,Ireland
47,Australia
48,South Africa
49,Eritrea
50,Tanzania
51,Jordan
52,Tunisia
53,Libya
54,Belgium
55,Djibouti
56,Palestine
57,Comoros
58,Kazakhstan
59,Brunei
60,India
61,Saudi Arabia
62,Syria
63,Maldives
64,Ethiopia
65,United Arab Emirates
66,North Yemen
67,Indonesia
68,Philippines
69,Singapore
70,Uzbekistan
71,Kyrgyzstan
72,Tajikistan
73,Unified Team
74,Japan
75,Japan-1
76,Congo (Brazzaville)
77,Switzerland
78,Brazil
79,West Germany
80,East Germany
81,Monaco
82,Fornebo
83,Israel
84,Vesper Boat Club
85,Uruguay
86,Sweden
87,United States Virgin Islands
88,Sri Lanka
89,Armenia
90,Cote d'Ivoire
91,Kenya
92,Benin
93,France-1
94,Ukraine
95,Great Britain
96,Ghana
97,Somalia
98,Latvia
99,Niger
100,Mali
101,Afghanistan
102,Poland
103,Costa Rica
104,Panama
105,Georgia
106,Slovenia
107,Croatia
108,Russia-2
109,Russia-1
110,Guyana
111,New Zealand
112,Portugal
113,Paraguay
114,Angola
115,Venezuela
116,Colombia
117,Bangladesh
118,Peru
119,El Salvador
120,Puerto Rico
121,France-2
122,Uganda
123,Switzerland-2
124,Switzerland-1
125,Honduras
126,Ecuador
127,Turkmenistan
128,Mauritius
129,Seychelles
130,Czechoslovakia
131,Great Britain-1
132,Luxembourg
133,Mauritania
134,Czech Republic
135,Saint Kitts and Nevis
136,New York Athletic Club #2-4
137,Trinidad and Tobago
138,Dominican Republic
139,Saint Vincent and the Grenadines
140,Mystery
141,Jamaica
142,Liberia
143,Suriname
144,Nigeria-2
145,Nepal
146,Mongolia
147,Germany-2
148,Austria
149,Clementine V
150,Bylina-2
151,Palau
152,Lithuania
153,Togo
154,Namibia
155,Netherlands Antilles
156,Iceland
157,American Samoa
158,Samoa
159,Rwanda
160,Dominica
161,Great Britain-2
162,Haiti
163,Stella-2
164,Malta
165,United States-1
166,United States-2
167,Argentina-2
168,"Large boat, Central Naval Prep School ""Poros""-1"
169,Cyprus
170,Guinea
171,Xolotl
172,Belize
173,Matrero II
174,Blue Red
175,Gteborgs Roddklubb-1
176,Indonesia-1
177,Germany-1
178,South Yemen
179,South Korea
180,Lucky Girl-1
