1,1,NA
2,2,NA
3,3,NA
4,4,Gold
5,5,NA
5,6,NA
5,5,NA
5,6,NA
5,5,NA
5,6,NA
6,7,NA
6,8,NA
6,9,NA
6,10,NA
6,7,NA
6,11,NA
6,9,NA
6,10,NA
7,7,NA
7,8,NA
7,9,NA
7,10,NA
7,7,NA
7,11,NA
7,9,NA
7,10,NA
8,12,NA
8,13,NA
9,14,NA
10,15,NA
11,11,NA
12,16,NA
13,17,NA
13,17,NA
14,18,NA
15,19,NA
15,20,NA
15,19,Bronze
15,20,Bronze
15,19,NA
16,14,Bronze
17,21,Bronze
17,22,Gold
17,23,NA
17,24,Gold
17,25,NA
17,26,NA
17,27,NA
17,28,Gold
17,21,NA
17,22,Bronze
17,23,NA
17,24,NA
17,25,NA
17,26,NA
17,27,NA
17,28,NA
18,29,NA
19,30,NA
20,31,NA
20,32,Gold
20,33,Bronze
20,34,NA
20,31,Silver
20,32,Bronze
20,33,NA
20,34,NA
20,35,Silver
20,31,NA
20,32,NA
20,33,NA
20,35,NA
20,31,NA
20,32,Gold
20,33,NA
20,34,NA
20,35,Gold
20,31,NA
20,32,Gold
21,36,Gold
22,37,NA
23,38,NA
23,38,NA
24,39,NA
24,40,NA
24,40,NA
25,41,Silver
26,42,NA
27,43,NA
28,44,NA
28,44,NA
29,45,Bronze
30,46,Silver
30,46,NA
31,47,NA
32,48,NA
33,49,NA
33,49,NA
34,50,NA
35,51,NA
36,52,NA
36,53,NA
36,54,NA
36,52,NA
36,53,NA
37,55,Bronze
38,41,Silver
39,56,NA
39,57,NA
39,58,NA
40,40,Bronze
40,40,NA
40,59,NA
40,40,Gold
40,59,NA
40,60,NA
41,3,NA
42,61,Gold
43,62,NA
44,11,NA
44,8,NA
44,63,NA
44,8,NA
44,10,NA
45,64,NA
46,65,NA
46,65,NA
46,66,NA
46,66,NA
46,66,NA
47,67,NA
47,68,NA
47,68,NA
47,68,NA
48,69,NA
49,70,NA
49,70,NA
50,71,NA
50,71,NA
51,21,NA
51,23,NA
51,25,NA
51,26,NA
51,27,NA
51,28,NA
52,47,NA
53,72,NA
54,73,NA
55,74,NA
56,75,NA
56,76,Gold
57,69,NA
58,75,NA
58,76,NA
59,77,NA
59,78,NA
60,78,NA
61,3,NA
62,79,Bronze
63,57,Bronze
64,80,NA
65,81,Bronze
66,82,NA
67,70,Silver
67,70,NA
68,52,NA
68,54,NA
69,83,NA
70,84,NA
71,85,NA
71,86,NA
72,87,NA
72,87,Gold
73,88,Gold
73,88,Gold
73,88,Silver
74,89,NA
75,57,NA
76,3,Gold
77,90,NA
78,91,NA
79,92,NA
80,43,Gold
81,3,NA
82,93,NA
83,94,NA
84,95,Silver
85,96,NA
85,96,Gold
85,96,NA
86,50,NA
86,50,Bronze
87,38,NA
88,97,NA
89,98,NA
90,99,Silver
90,100,NA
91,101,NA
92,3,NA
93,88,NA
93,88,Gold
94,102,NA
95,103,NA
96,104,NA
97,48,NA
98,56,NA
98,105,NA
98,106,NA
99,106,Silver
100,107,NA
100,108,Bronze
101,109,NA
102,3,NA
102,3,NA
103,110,Bronze
104,104,NA
105,111,NA
105,90,NA
106,112,Gold
106,113,Gold
106,112,Gold
107,114,Gold
107,114,Gold
107,114,Silver
107,98,NA
108,114,NA
108,114,Gold
108,114,Gold
108,114,Silver
109,115,NA
109,67,NA
109,115,NA
110,116,NA
111,117,NA
112,77,NA
113,3,NA
114,68,NA
115,115,NA
116,118,NA
116,118,NA
117,116,NA
117,119,NA
118,75,NA
119,84,NA
120,107,NA
121,33,NA
122,78,NA
123,120,NA
123,120,NA
123,120,NA
124,1,NA
125,120,NA
126,121,NA
127,120,NA
127,120,NA
127,120,NA
128,122,NA
129,104,NA
130,123,NA
131,124,NA
132,125,NA
133,21,NA
134,3,NA
135,36,NA
136,1,NA
137,126,NA
137,126,NA
138,127,NA
139,3,Bronze
140,44,NA
140,44,NA
141,128,NA
141,129,NA
142,74,NA
143,120,Bronze
144,120,NA
145,126,NA
145,126,NA
145,130,Bronze
146,86,NA
147,44,NA
148,131,NA
149,132,NA
150,133,Gold
151,133,NA
152,44,NA
153,134,Silver
154,135,NA
155,38,NA
155,38,NA
155,136,NA
156,137,NA
157,88,NA
157,88,NA
158,138,NA
159,139,NA
159,140,NA
159,140,NA
160,74,NA
161,137,NA
162,88,NA
162,88,NA
163,21,NA
163,22,NA
163,23,NA
163,24,NA
163,25,NA
163,26,NA
163,27,NA
163,28,NA
164,56,NA
165,141,Silver
166,142,NA
166,143,NA
167,144,NA
168,104,NA
169,145,NA
170,146,NA
171,137,NA
172,147,NA
173,3,NA
174,3,NA
175,142,NA
176,68,NA
177,75,NA
178,92,NA
178,109,NA
179,148,NA
179,143,NA
180,139,NA
180,139,NA
181,139,NA
182,120,NA
183,98,NA
184,43,NA
185,56,NA
185,105,NA
185,58,NA
185,105,NA
185,58,NA
186,43,NA
187,149,NA
188,137,NA
189,92,NA
190,95,NA
191,3,NA
192,1,NA
193,43,NA
193,107,NA
193,150,NA
193,43,NA
193,107,NA
193,43,NA
194,104,NA
195,151,NA
195,151,NA
196,88,NA
197,152,NA
198,88,NA
199,1,NA
199,1,NA
200,88,NA
201,43,NA
202,1,NA
202,1,NA
203,137,NA
203,137,NA
204,116,NA
205,98,NA
206,43,NA
206,43,NA
207,153,NA
207,57,NA
207,58,NA
207,57,NA
207,58,NA
207,153,NA
207,106,NA
208,111,NA
209,43,NA
210,137,NA
211,105,NA
211,56,NA
211,105,NA
212,154,NA
213,155,NA
213,156,NA
213,155,NA
214,3,NA
215,58,NA
216,157,NA
217,158,NA
218,159,NA
219,98,NA
220,98,NA
221,88,NA
222,158,NA
223,21,NA
223,22,NA
223,23,NA
223,24,NA
223,25,NA
223,26,NA
223,27,NA
223,28,NA
224,160,NA
225,161,NA
225,161,NA
225,161,NA
226,3,NA
227,137,NA
228,109,NA
229,80,NA
230,21,NA
230,22,NA
230,23,NA
230,24,NA
230,25,NA
230,26,NA
230,27,NA
230,28,NA
231,156,NA
232,78,NA
232,78,NA
233,140,NA
234,50,NA
235,3,NA
236,151,NA
236,162,NA
237,74,NA
238,147,NA
238,147,NA
239,3,NA
240,140,NA
241,152,NA
242,2,NA
243,163,NA
244,21,NA
244,24,NA
244,25,NA
244,27,NA
244,28,NA
245,88,NA
246,137,NA
247,74,NA
248,119,NA
248,119,NA
249,164,NA
249,164,NA
250,165,NA
250,166,Bronze
251,74,NA
251,144,NA
252,167,NA
252,167,NA
253,167,NA
253,167,NA
254,144,NA
254,142,NA
255,56,NA
255,105,NA
255,56,NA
255,105,NA
255,57,NA
255,58,NA
255,105,NA
256,144,NA
256,144,NA
256,144,NA
256,142,NA
257,165,NA
257,168,NA
257,168,NA
258,123,NA
259,169,NA
259,170,NA
259,171,Bronze
260,3,NA
261,3,NA
262,109,NA
263,116,NA
264,172,NA
265,3,NA
266,110,NA
267,110,NA
267,173,NA
267,110,NA
267,173,NA
268,148,NA
269,164,NA
270,1,NA
271,174,NA
272,109,NA
273,175,NA
274,143,NA
275,3,NA
276,120,NA
276,120,NA
277,176,NA
277,177,NA
277,176,NA
278,120,NA
279,178,NA
279,178,NA
280,123,NA
281,101,NA
281,115,NA
282,127,NA
282,127,NA
283,3,NA
284,3,NA
285,151,NA
286,148,NA
286,67,NA
287,109,NA
288,143,NA
289,142,NA
290,179,NA
291,3,NA
292,43,NA
293,180,NA
294,65,NA
295,75,NA
296,115,NA
297,120,Gold
298,120,Silver
299,12,NA
299,12,NA
300,68,NA
300,181,NA
301,48,NA
302,120,NA
303,160,NA
304,84,NA
304,84,NA
305,3,NA
306,147,NA
307,119,NA
308,15,NA
308,52,NA
309,120,NA
310,182,NA
311,3,NA
312,3,NA
313,104,NA
313,67,NA
313,104,NA
313,67,NA
314,183,NA
315,184,NA
316,95,Gold
317,107,NA
317,185,NA
317,186,NA
317,108,NA
317,54,NA
318,111,NA
319,120,NA
320,120,NA
321,144,NA
322,53,NA
323,113,NA
324,162,NA
325,120,NA
326,186,NA
326,108,NA
326,150,NA
326,187,NA
326,188,NA
326,54,NA
327,104,NA
328,47,NA
329,3,NA
330,3,NA
331,188,NA
331,189,NA
331,54,NA
331,189,NA
332,190,NA
332,190,NA
333,191,NA
333,90,NA
334,192,NA
335,73,NA
336,193,NA
336,95,NA
337,109,NA
337,69,Gold
338,154,NA
338,154,NA
339,194,Silver
339,193,Gold
339,95,NA
340,195,NA
341,166,NA
342,107,NA
343,196,NA
343,197,NA
344,3,NA
345,3,NA
346,140,NA
346,139,NA
346,140,NA
347,198,NA
348,101,NA
348,101,NA
349,90,NA
350,118,NA
350,77,NA
351,1,Gold
352,90,NA
353,199,NA
353,200,NA
354,168,NA
355,201,NA
356,109,NA
357,168,NA
357,172,Silver
357,172,NA
358,202,NA
359,117,Gold
359,117,NA
360,75,NA
360,75,NA
361,174,NA
362,117,NA
363,203,NA
363,51,NA
363,203,NA
363,51,NA
364,204,NA
365,56,NA
366,95,NA
367,205,NA
367,206,NA
367,206,NA
367,205,Gold
367,206,NA
368,67,NA
368,68,NA
369,114,NA
370,1,NA
370,1,NA
371,207,NA
371,207,NA
372,193,NA
373,208,NA
373,98,NA
373,98,NA
374,120,NA
375,132,NA
376,75,NA
377,3,NA
378,36,NA
379,74,NA
379,144,Bronze
380,75,NA
380,209,NA
381,82,NA
382,135,NA
383,153,NA
383,153,NA
384,3,NA
385,3,Silver
385,3,NA
386,137,NA
386,137,NA
387,210,NA
388,3,NA
389,211,NA
389,212,NA
390,140,NA
391,14,Silver
392,14,Gold
393,206,NA
393,206,NA
394,213,NA
394,214,Silver
394,215,NA
394,216,NA
394,217,NA
394,218,NA
395,219,NA
395,219,NA
395,220,Bronze
395,219,NA
395,220,NA
396,213,NA
396,214,NA
396,215,NA
396,217,NA
396,218,NA
397,221,NA
397,103,NA
398,64,NA
398,65,NA
398,64,NA
398,64,NA
398,180,NA
398,64,NA
399,222,Silver
400,223,NA
401,3,Gold
402,224,NA
402,224,NA
403,213,NA
403,215,NA
403,216,NA
403,217,NA
403,218,NA
404,98,Gold
404,98,Gold
405,3,NA
406,43,NA
407,225,NA
407,226,NA
407,227,NA
408,142,NA
409,43,NA
410,13,NA
411,142,Gold
412,142,NA
413,208,NA
413,98,NA
413,208,NA
414,117,NA
415,228,NA
416,68,Bronze
416,181,Silver
417,179,NA
418,229,NA
419,230,NA
420,50,NA
421,3,NA
422,42,NA
422,42,NA
422,42,NA
422,42,NA
422,42,NA
423,207,Gold
424,231,Bronze
424,169,NA
425,88,NA
426,121,NA
427,148,NA
